"","Type","Price","MPG.highway","DriveTrain","cIdx"
"1","Small",15.9,31,"Front",5
"2","Midsize",33.9,25,"Front",4
"3","Compact",29.1,26,"Front",3
"4","Midsize",37.7,26,"Front",4
"5","Midsize",30,30,"Rear",3
"6","Midsize",15.7,31,"Front",5
"7","Large",20.8,28,"Front",3
"8","Large",23.7,25,"Rear",3
"9","Midsize",26.3,27,"Front",3
"10","Large",34.7,25,"Front",3
"11","Midsize",40.1,25,"Front",4
"12","Compact",13.4,36,"Front",1
"13","Compact",11.4,34,"Front",1
"14","Sporty",15.1,28,"Rear",5
"15","Midsize",15.9,29,"Front",5
"16","Van",16.3,23,"Front",2
"17","Van",16.6,20,"4WD",2
"18","Large",18.8,26,"Rear",3
"19","Sporty",38,25,"Rear",4
"20","Large",18.4,28,"Front",3
"21","Compact",15.8,28,"Front",5
"22","Large",29.5,26,"Front",3
"23","Small",9.2,33,"Front",1
"24","Small",11.3,29,"Front",1
"25","Compact",13.3,27,"Front",5
"26","Van",19,21,"4WD",2
"27","Midsize",15.6,27,"Front",5
"28","Sporty",25.8,24,"4WD",4
"29","Small",12.2,33,"Front",1
"30","Large",19.3,28,"Front",3
"31","Small",7.4,33,"Front",1
"32","Small",10.1,30,"Front",1
"33","Compact",11.3,27,"Front",1
"34","Sporty",15.9,29,"Rear",5
"35","Sporty",14,30,"Front",5
"36","Van",19.9,20,"4WD",2
"37","Midsize",20.2,30,"Front",5
"38","Large",20.9,26,"Rear",3
"39","Small",8.4,50,"Front",1
"40","Sporty",12.5,36,"Front",1
"41","Sporty",19.8,31,"Front",5
"42","Small",12.1,46,"Front",1
"43","Compact",17.5,31,"Front",5
"44","Small",8,33,"Front",1
"45","Small",10,29,"Front",1
"46","Sporty",10,34,"Front",1
"47","Midsize",13.9,27,"Front",5
"48","Midsize",47.9,22,"Rear",4
"49","Midsize",28,24,"Front",4
"50","Midsize",35.2,23,"Rear",4
"51","Midsize",34.3,26,"Front",3
"52","Large",36.1,26,"Rear",3
"53","Small",8.3,37,"Front",1
"54","Small",11.6,36,"Front",1
"55","Compact",16.5,34,"Front",5
"56","Van",19.1,24,"4WD",2
"57","Sporty",32.5,25,"Rear",4
"58","Compact",31.9,29,"Rear",3
"59","Midsize",61.9,25,"Rear",4
"60","Sporty",14.1,26,"Front",5
"61","Midsize",14.9,26,"Rear",3
"62","Small",10.3,33,"Front",1
"63","Midsize",26.1,24,"Front",4
"64","Small",11.8,33,"Front",1
"65","Compact",15.7,30,"Front",5
"66","Van",19.1,23,"Front",2
"67","Midsize",21.5,26,"Front",3
"68","Compact",13.5,31,"Front",5
"69","Midsize",16.3,31,"Front",5
"70","Van",19.5,23,"Front",2
"71","Large",20.7,28,"Front",3
"72","Sporty",14.4,30,"4WD",5
"73","Small",9,41,"Front",1
"74","Compact",11.1,31,"Front",1
"75","Sporty",17.7,28,"Rear",5
"76","Midsize",18.5,27,"Front",3
"77","Large",24.4,28,"Front",3
"78","Compact",28.7,26,"Front",3
"79","Small",11.1,38,"Front",1
"80","Small",8.4,37,"4WD",1
"81","Small",10.9,30,"4WD",1
"82","Compact",19.5,30,"4WD",5
"83","Small",8.6,43,"Front",1
"84","Small",9.8,37,"Front",1
"85","Sporty",18.4,32,"Front",5
"86","Midsize",18.2,29,"Front",5
"87","Van",22.7,22,"4WD",2
"88","Small",9.1,33,"Front",1
"89","Van",19.7,21,"Front",2
"90","Compact",20,30,"Front",5
"91","Sporty",23.3,25,"Front",4
"92","Compact",22.7,28,"Rear",3
"93","Midsize",26.7,28,"Front",3
